Participant,Session,SnippetOrder,Condition,Snippet,Responded,Correct,ResponseTime
participant_06,1,1,LOBO,BinaryToDecimal_LOBO,0,,
participant_06,1,2,LDBO,IntertwineTwoWords_LDBO,1,1,194373
participant_06,1,3,LOBS,ContainsSubstring_LOBS,0,,
participant_06,1,4,LDBS,Power_LDBS,0,,
participant_06,1,5,BU,SumUpToN_BU,1,1,129617
participant_06,1,6,LOBO,SquareRoot_LOBO,1,1,127914
participant_06,1,7,LDBO,BinaryToDecimal_LDBO,1,0,289150
participant_06,1,8,LOBS,IntertwineTwoWords_LOBS,1,1,103350
participant_06,1,9,LDBS,ContainsSubstring_LDBS,0,,
participant_06,1,10,Syntax,Average_Syntax,1,0,104705
participant_06,1,11,LOBO,ReverseWord_LOBO,1,0,125062
participant_06,1,12,LDBO,SquareRoot_LDBO,1,1,151810
participant_06,1,13,LOBS,BinaryToDecimal_LOBS,1,0,203167
participant_06,1,14,LDBS,IntertwineTwoWords_LDBS,1,1,181608
participant_06,1,15,BU,Factorial_BU,1,1,159399
participant_06,1,16,LOBO,Power_LOBO,1,1,266026
participant_06,1,17,LDBO,ReverseWord_LDBO,1,1,170735
participant_06,1,18,LOBS,SquareRoot_LOBS,1,1,106873
participant_06,1,19,LDBS,BinaryToDecimal_LDBS,0,,
participant_06,1,20,Syntax,Swap_Syntax,1,1,122118
participant_06,1,21,LOBO,ContainsSubstring_LOBO,0,,
participant_06,1,22,LDBO,Power_LDBO,1,1,142003
participant_06,1,23,LOBS,ReverseWord_LOBS,1,1,216749
participant_06,1,24,LDBS,SquareRoot_LDBS,1,1,208558
participant_06,1,25,BU,CommonChars_BU,0,,
participant_06,1,26,LOBO,IntertwineTwoWords_LOBO,1,1,208857
participant_06,1,27,LDBO,ContainsSubstring_LDBO,0,,
participant_06,1,28,LOBS,Power_LOBS,1,1,182792
participant_06,1,29,LDBS,ReverseWord_LDBS,1,1,131060
participant_06,1,30,Syntax,ReverseIntArray_Syntax,1,1,256336
participant_33,1,1,LOBO,IntertwineTwoWords_LOBO,1,1,150507
participant_33,1,2,LDBO,FirstAboveTreshold_LDBO,1,1,176567
participant_33,1,3,LOBS,Palindrome_LOBS,1,1,162352
participant_33,1,4,LDBS,ArrayAverage_LDBS,1,1,198802
participant_33,1,5,BU,Factorial_BU,1,1,191380
participant_33,1,6,LOBO,CrossSum_LOBO,1,1,102309
participant_33,1,7,LDBO,IntertwineTwoWords_LDBO,1,1,190925
participant_33,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,200182
participant_33,1,9,LDBS,Palindrome_LDBS,1,1,183350
participant_33,1,10,Syntax,Swap_Syntax,1,1,248466
participant_33,1,11,LOBO,ReverseWord_LOBO,1,1,165490
participant_33,1,12,LDBO,CrossSum_LDBO,1,1,135448
participant_33,1,13,LOBS,IntertwineTwoWords_LOBS,1,1,203554
participant_33,1,14,LDBS,FirstAboveTreshold_LDBS,1,1,165826
participant_33,1,15,BU,CommonChars_BU,0,,
participant_33,1,16,LOBO,ArrayAverage_LOBO,1,1,191234
participant_33,1,17,LDBO,ReverseWord_LDBO,1,1,160706
participant_33,1,18,LOBS,CrossSum_LOBS,1,1,134274
participant_33,1,19,LDBS,IntertwineTwoWords_LDBS,1,1,193300
participant_33,1,20,Syntax,ReverseWord_Syntax,1,1,273666
participant_33,1,21,LOBO,Palindrome_LOBO,1,1,203845
participant_33,1,22,LDBO,ArrayAverage_LDBO,1,1,288861
participant_33,1,23,LOBS,ReverseWord_LOBS,1,1,183302
participant_33,1,24,LDBS,CrossSum_LDBS,1,1,227928
participant_33,1,25,BU,CrossSum_BU,1,1,98489
participant_33,1,26,LOBO,FirstAboveTreshold_LOBO,1,1,154645
participant_33,1,27,LDBO,Palindrome_LDBO,1,1,245673
participant_33,1,28,LOBS,ArrayAverage_LOBS,1,1,283530
participant_33,1,29,LDBS,ReverseWord_LDBS,1,1,136965
participant_33,1,30,Syntax,Power_Syntax,0,,
participant_25,1,1,LOBO,ContainsSubstring_LOBO,1,1,207031
participant_25,1,2,LDBO,FirstAboveTreshold_LDBO,1,1,149519
participant_25,1,3,LOBS,Palindrome_LOBS,1,1,267766
participant_25,1,4,LDBS,Power_LDBS,1,1,91755
participant_25,1,5,BU,SumUpToN_BU,1,1,234401
participant_25,1,6,LOBO,SquareRoot_LOBO,1,1,130339
participant_25,1,7,LDBO,ContainsSubstring_LDBO,1,1,164797
participant_25,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,82305
participant_25,1,9,LDBS,Palindrome_LDBS,1,1,272771
participant_25,1,10,Syntax,DoubleArray_Syntax,1,1,258679
participant_25,1,11,LOBO,ReverseWord_LOBO,1,1,131292
participant_25,1,12,LDBO,SquareRoot_LDBO,1,1,220237
participant_25,1,13,LOBS,ContainsSubstring_LOBS,1,1,275068
participant_25,1,14,LDBS,FirstAboveTreshold_LDBS,1,0,230777
participant_25,1,15,BU,Factorial_BU,1,1,170659
participant_25,1,16,LOBO,Power_LOBO,1,1,133336
participant_25,1,17,LDBO,ReverseWord_LDBO,1,1,108194
participant_25,1,18,LOBS,SquareRoot_LOBS,1,1,246670
participant_25,1,19,LDBS,ContainsSubstring_LDBS,1,1,192178
participant_25,1,20,Syntax,ReverseIntArray_Syntax,1,1,286645
participant_25,1,21,LOBO,Palindrome_LOBO,1,1,261463
participant_25,1,22,LDBO,Power_LDBO,1,1,266601
participant_25,1,23,LOBS,ReverseWord_LOBS,1,1,97650
participant_25,1,24,LDBS,SquareRoot_LDBS,1,1,301410
participant_25,1,25,BU,CrossSum_BU,0,,
participant_25,1,26,LOBO,FirstAboveTreshold_LOBO,1,0,139196
participant_25,1,27,LDBO,Palindrome_LDBO,1,1,136904
participant_25,1,28,LOBS,Power_LOBS,1,1,69922
participant_25,1,29,LDBS,ReverseWord_LDBS,1,1,196721
participant_25,1,30,Syntax,Power_Syntax,1,1,137990
participant_54,1,1,LOBO,BinaryToDecimal_LOBO,1,1,198583
participant_54,1,2,LDBO,IntertwineTwoWords_LDBO,1,1,190000
participant_54,1,3,LOBS,ContainsSubstring_LOBS,1,1,217088
participant_54,1,4,LDBS,Power_LDBS,1,1,184909
participant_54,1,5,BU,SumUpToN_BU,1,1,268176
participant_54,1,6,LOBO,SquareRoot_LOBO,1,1,179214
participant_54,1,7,LDBO,BinaryToDecimal_LDBO,1,1,307413
participant_54,1,8,LOBS,IntertwineTwoWords_LOBS,1,1,162339
participant_54,1,9,LDBS,ContainsSubstring_LDBS,1,1,208320
participant_54,1,10,Syntax,Average_Syntax,1,1,267857
participant_54,1,11,LOBO,ReverseWord_LOBO,1,1,146186
participant_54,1,12,LDBO,SquareRoot_LDBO,1,1,257156
participant_54,1,13,LOBS,BinaryToDecimal_LOBS,1,1,304344
participant_54,1,14,LDBS,IntertwineTwoWords_LDBS,1,1,135052
participant_54,1,15,BU,Factorial_BU,1,1,246072
participant_54,1,16,LOBO,Power_LOBO,1,1,211960
participant_54,1,17,LDBO,ReverseWord_LDBO,1,1,215788
participant_54,1,18,LOBS,SquareRoot_LOBS,1,1,180336
participant_54,1,19,LDBS,BinaryToDecimal_LDBS,1,1,237956
participant_54,1,20,Syntax,Swap_Syntax,1,1,143888
participant_54,1,21,LOBO,ContainsSubstring_LOBO,1,1,238835
participant_54,1,22,LDBO,Power_LDBO,1,1,180026
participant_54,1,23,LOBS,ReverseWord_LOBS,1,1,182604
participant_54,1,24,LDBS,SquareRoot_LDBS,1,1,228862
participant_54,1,25,BU,CommonChars_BU,1,0,319360
participant_54,1,26,LOBO,IntertwineTwoWords_LOBO,1,1,170617
participant_54,1,27,LDBO,ContainsSubstring_LDBO,1,1,219924
participant_54,1,28,LOBS,Power_LOBS,1,1,187773
participant_54,1,29,LDBS,ReverseWord_LDBS,1,1,147711
participant_54,1,30,Syntax,ReverseIntArray_Syntax,1,0,315518
participant_17,1,1,LOBO,IntertwineTwoWords_LOBO,1,1,305184
participant_17,1,2,LDBO,FirstAboveTreshold_LDBO,1,1,187639
participant_17,1,3,LOBS,Palindrome_LOBS,0,,
participant_17,1,4,LDBS,ArrayAverage_LDBS,1,1,191257
participant_17,1,5,BU,Factorial_BU,1,1,257704
participant_17,1,6,LOBO,CrossSum_LOBO,1,1,157706
participant_17,1,7,LDBO,IntertwineTwoWords_LDBO,1,1,170704
participant_17,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,293320
participant_17,1,9,LDBS,Palindrome_LDBS,1,1,241968
participant_17,1,10,Syntax,Swap_Syntax,1,1,133497
participant_17,1,11,LOBO,ReverseWord_LOBO,1,1,165603
participant_17,1,12,LDBO,CrossSum_LDBO,1,1,227181
participant_17,1,13,LOBS,IntertwineTwoWords_LOBS,1,1,235478
participant_17,1,14,LDBS,FirstAboveTreshold_LDBS,1,1,235066
participant_17,1,15,BU,CommonChars_BU,1,1,318314
participant_17,1,16,LOBO,ArrayAverage_LOBO,1,0,348562
participant_17,1,17,LDBO,ReverseWord_LDBO,1,1,208800
participant_17,1,18,LOBS,CrossSum_LOBS,1,1,170868
participant_17,1,19,LDBS,IntertwineTwoWords_LDBS,1,1,218874
participant_17,1,20,Syntax,ReverseWord_Syntax,1,0,228192
participant_17,1,21,LOBO,Palindrome_LOBO,1,1,306454
participant_17,1,22,LDBO,ArrayAverage_LDBO,1,1,228371
participant_17,1,23,LOBS,ReverseWord_LOBS,1,1,214259
participant_17,1,24,LDBS,CrossSum_LDBS,1,1,203826
participant_17,1,25,BU,CrossSum_BU,1,1,238863
participant_17,1,26,LOBO,FirstAboveTreshold_LOBO,1,1,163376
participant_17,1,27,LDBO,Palindrome_LDBO,1,1,242542
participant_17,1,28,LOBS,ArrayAverage_LOBS,1,1,230370
participant_17,1,29,LDBS,ReverseWord_LDBS,1,1,184968
participant_17,1,30,Syntax,Power_Syntax,1,0,221516
participant_36,1,1,LOBO,IntertwineTwoWords_LOBO,1,1,303925
participant_36,1,2,LDBO,FirstAboveTreshold_LDBO,1,1,255670
participant_36,1,3,LOBS,Palindrome_LOBS,1,1,308993
participant_36,1,4,LDBS,Power_LDBS,1,1,126981
participant_36,1,5,BU,CommonChars_BU,1,1,315938
participant_36,1,6,LOBO,SquareRoot_LOBO,1,1,165524
participant_36,1,7,LDBO,IntertwineTwoWords_LDBO,1,1,163673
participant_36,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,220473
participant_36,1,9,LDBS,Palindrome_LDBS,1,1,189515
participant_36,1,10,Syntax,DoubleArray_Syntax,1,0,311020
participant_36,1,11,LOBO,ReverseWord_LOBO,1,1,173397
participant_36,1,12,LDBO,SquareRoot_LDBO,1,1,165298
participant_36,1,13,LOBS,IntertwineTwoWords_LOBS,1,1,154959
participant_36,1,14,LDBS,FirstAboveTreshold_LDBS,1,1,203089
participant_36,1,15,BU,MaxInArray_BU,1,1,302068
participant_36,1,16,LOBO,Power_LOBO,1,1,108816
participant_36,1,17,LDBO,ReverseWord_LDBO,1,1,108794
participant_36,1,18,LOBS,SquareRoot_LOBS,1,1,110821
participant_36,1,19,LDBS,IntertwineTwoWords_LDBS,1,1,185158
participant_36,1,20,Syntax,ReverseIntArray_Syntax,1,1,251545
participant_36,1,21,LOBO,Palindrome_LOBO,1,1,182423
participant_36,1,22,LDBO,Power_LDBO,1,1,83732
participant_36,1,23,LOBS,ReverseWord_LOBS,1,1,190109
participant_36,1,24,LDBS,SquareRoot_LDBS,1,1,190227
participant_36,1,25,BU,CrossSum_BU,1,0,311236
participant_36,1,26,LOBO,FirstAboveTreshold_LOBO,1,1,142802
participant_36,1,27,LDBO,Palindrome_LDBO,1,1,179699
participant_36,1,28,LOBS,Power_LOBS,1,1,158277
participant_36,1,29,LDBS,ReverseWord_LDBS,1,1,106676
participant_36,1,30,Syntax,Power_Syntax,1,1,194062
participant_30,1,1,LOBO,CrossSum_LOBO,1,0,298058
participant_30,1,2,LDBO,ContainsSubstring_LDBO,1,1,191194
participant_30,1,3,LOBS,ArrayAverage_LOBS,1,1,171286
participant_30,1,4,LDBS,CountVowels_LDBS,1,1,217563
participant_30,1,5,BU,DoubleArray_BU,1,1,261079
participant_30,1,6,LOBO,Power_LOBO,1,1,275017
participant_30,1,7,LDBO,CrossSum_LDBO,1,1,303606
participant_30,1,8,LOBS,ContainsSubstring_LOBS,1,1,232820
participant_30,1,9,LDBS,ArrayAverage_LDBS,1,1,254447
participant_30,1,10,Syntax,Swap_Syntax,1,0,79657
participant_30,1,11,LOBO,ReverseWord_LOBO,1,0,244513
participant_30,1,12,LDBO,Power_LDBO,1,1,302644
participant_30,1,13,LOBS,CrossSum_LOBS,1,1,156480
participant_30,1,14,LDBS,ContainsSubstring_LDBS,1,1,304233
participant_30,1,15,BU,SumUpToN_BU,1,1,290246
participant_30,1,16,LOBO,CountVowels_LOBO,1,1,191499
participant_30,1,17,LDBO,ReverseWord_LDBO,1,1,225896
participant_30,1,18,LOBS,Power_LOBS,1,1,241923
participant_30,1,19,LDBS,CrossSum_LDBS,1,1,235814
participant_30,1,20,Syntax,ReverseIntArray_Syntax,1,1,232992
participant_30,1,21,LOBO,ArrayAverage_LOBO,1,1,167871
participant_30,1,22,LDBO,CountVowels_LDBO,1,1,215882
participant_30,1,23,LOBS,ReverseWord_LOBS,1,1,220599
participant_30,1,24,LDBS,Power_LDBS,1,1,287839
participant_30,1,25,BU,CrossSum_BU,1,1,294329
participant_30,1,26,LOBO,ContainsSubstring_LOBO,1,1,308146
participant_30,1,27,LDBO,ArrayAverage_LDBO,1,1,199380
participant_30,1,28,LOBS,CountVowels_LOBS,1,1,237627
participant_30,1,29,LDBS,ReverseWord_LDBS,1,1,162350
participant_30,1,30,Syntax,Power_Syntax,1,0,286828
participant_15,1,1,LOBO,ReverseWord_LOBO,1,1,73677
participant_15,1,2,LDBO,SquareRoot_LDBO,1,1,128614
participant_15,1,3,LOBS,IntertwineTwoWords_LOBS,1,1,193741
participant_15,1,4,LDBS,FirstAboveTreshold_LDBS,1,1,195968
participant_15,1,5,BU,MaxInArray_BU,1,1,151300
participant_15,1,6,LOBO,Power_LOBO,1,1,119918
participant_15,1,7,LDBO,ReverseWord_LDBO,1,1,132488
participant_15,1,8,LOBS,SquareRoot_LOBS,1,1,145706
participant_15,1,9,LDBS,IntertwineTwoWords_LDBS,1,1,163926
participant_15,1,10,Syntax,ReverseIntArray_Syntax,1,1,292752
participant_15,1,11,LOBO,Palindrome_LOBO,1,1,195992
participant_15,1,12,LDBO,Power_LDBO,1,1,86604
participant_15,1,13,LOBS,ReverseWord_LOBS,1,1,120531
participant_15,1,14,LDBS,SquareRoot_LDBS,1,1,208668
participant_15,1,15,BU,CrossSum_BU,1,1,151736
participant_15,1,16,LOBO,FirstAboveTreshold_LOBO,1,0,177094
participant_15,1,17,LDBO,Palindrome_LDBO,1,1,232454
participant_15,1,18,LOBS,Power_LOBS,1,1,171122
participant_15,1,19,LDBS,ReverseWord_LDBS,1,1,175120
participant_15,1,20,Syntax,Power_Syntax,1,1,103342
participant_15,1,21,LOBO,IntertwineTwoWords_LOBO,1,1,186481
participant_15,1,22,LDBO,FirstAboveTreshold_LDBO,1,0,231799
participant_15,1,23,LOBS,Palindrome_LOBS,1,1,260429
participant_15,1,24,LDBS,Power_LDBS,1,1,174138
participant_15,1,25,BU,CommonChars_BU,1,1,175230
participant_15,1,26,LOBO,SquareRoot_LOBO,1,1,168761
participant_15,1,27,LDBO,IntertwineTwoWords_LDBO,1,1,182252
participant_15,1,28,LOBS,FirstAboveTreshold_LOBS,1,1,233809
participant_15,1,29,LDBS,Palindrome_LDBS,1,1,307312
participant_15,1,30,Syntax,DoubleArray_Syntax,1,1,138809
participant_70,1,1,LOBO,CrossSum_LOBO,1,1,223284
participant_70,1,2,LDBO,ContainsSubstring_LDBO,0,,
participant_70,1,3,LOBS,ArrayAverage_LOBS,1,1,156523
participant_70,1,4,LDBS,CountVowels_LDBS,1,1,308175
participant_70,1,5,BU,DoubleArray_BU,1,1,218111
participant_70,1,6,LOBO,Power_LOBO,1,1,240221
participant_70,1,7,LDBO,CrossSum_LDBO,1,1,259459
participant_70,1,8,LOBS,ContainsSubstring_LOBS,1,1,305522
participant_70,1,9,LDBS,ArrayAverage_LDBS,1,1,251437
participant_70,1,10,Syntax,Swap_Syntax,1,1,106441
participant_70,1,11,LOBO,ReverseWord_LOBO,1,1,243540
participant_70,1,12,LDBO,Power_LDBO,1,0,215158
participant_70,1,13,LOBS,CrossSum_LOBS,1,1,278738
participant_70,1,14,LDBS,ContainsSubstring_LDBS,1,1,278286
participant_70,1,15,BU,SumUpToN_BU,1,1,160248
participant_70,1,16,LOBO,CountVowels_LOBO,1,1,229788
participant_70,1,17,LDBO,ReverseWord_LDBO,1,1,231079
participant_70,1,18,LOBS,Power_LOBS,1,0,302519
participant_70,1,19,LDBS,CrossSum_LDBS,1,1,257544
participant_70,1,20,Syntax,ReverseIntArray_Syntax,1,1,104268
participant_70,1,21,LOBO,ArrayAverage_LOBO,1,1,258783
participant_70,1,22,LDBO,CountVowels_LDBO,1,1,259830
participant_70,1,23,LOBS,ReverseWord_LOBS,1,1,273998
participant_70,1,24,LDBS,Power_LDBS,1,1,298029
participant_70,1,25,BU,CrossSum_BU,1,1,189121
participant_70,1,26,LOBO,ContainsSubstring_LOBO,1,1,298977
participant_70,1,27,LDBO,ArrayAverage_LDBO,1,1,293158
participant_70,1,28,LOBS,CountVowels_LOBS,1,0,238926
participant_70,1,29,LDBS,ReverseWord_LDBS,1,1,219704
participant_70,1,30,Syntax,Power_Syntax,1,1,126374
participant_34,1,1,LOBO,ContainsSubstring_LOBO,1,1,129902
participant_34,1,2,LDBO,CountSameCharsAtSamePosition_LDBO,1,1,256504
participant_34,1,3,LOBS,CountVowels_LOBS,1,1,149725
participant_34,1,4,LDBS,ArrayAverage_LDBS,1,1,252681
participant_34,1,5,BU,Factorial_BU,1,1,124829
participant_34,1,6,LOBO,CrossSum_LOBO,1,1,124829
participant_34,1,7,LDBO,ContainsSubstring_LDBO,1,1,323066
participant_34,1,8,LOBS,CountSameCharsAtSamePosition_LOBS,1,0,283508
participant_34,1,9,LDBS,CountVowels_LDBS,1,1,304492
participant_34,1,10,Syntax,ReverseWord_Syntax,1,1,136089
participant_34,1,11,LOBO,BinaryToDecimal_LOBO,1,1,194205
participant_34,1,12,LDBO,CrossSum_LDBO,1,1,176373
participant_34,1,13,LOBS,ContainsSubstring_LOBS,1,1,188250
participant_34,1,14,LDBS,CountSameCharsAtSamePosition_LDBS,1,1,276896
participant_34,1,15,BU,DoubleArray_BU,1,1,218098
participant_34,1,16,LOBO,ArrayAverage_LOBO,1,0,81898
participant_34,1,17,LDBO,BinaryToDecimal_LDBO,1,1,315498
participant_34,1,18,LOBS,CrossSum_LOBS,1,1,157635
participant_34,1,19,LDBS,ContainsSubstring_LDBS,1,1,214582
participant_34,1,20,Syntax,Swap_Syntax,1,1,155030
participant_34,1,21,LOBO,CountVowels_LOBO,1,1,176188
participant_34,1,22,LDBO,ArrayAverage_LDBO,1,0,176845
participant_34,1,23,LOBS,BinaryToDecimal_LOBS,1,1,236805
participant_34,1,24,LDBS,CrossSum_LDBS,1,0,325148
participant_34,1,25,BU,SumUpToN_BU,1,1,340945
participant_34,1,26,LOBO,CountSameCharsAtSamePosition_LOBO,1,0,276691
participant_34,1,27,LDBO,CountVowels_LDBO,1,0,286041
participant_34,1,28,LOBS,ArrayAverage_LOBS,1,0,201890
participant_34,1,29,LDBS,BinaryToDecimal_LDBS,1,1,201248
participant_34,1,30,Syntax,Average_Syntax,1,1,99857
participant_71,1,1,LOBO,ContainsSubstring_LOBO,1,1,287312
participant_71,1,2,LDBO,FirstAboveTreshold_LDBO,1,0,312482
participant_71,1,3,LOBS,Palindrome_LOBS,1,1,201628
participant_71,1,4,LDBS,Power_LDBS,1,1,267115
participant_71,1,5,BU,SumUpToN_BU,1,1,134698
participant_71,1,6,LOBO,SquareRoot_LOBO,1,1,138285
participant_71,1,7,LDBO,ContainsSubstring_LDBO,1,1,253312
participant_71,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,276492
participant_71,1,9,LDBS,Palindrome_LDBS,1,1,266730
participant_71,1,10,Syntax,DoubleArray_Syntax,1,1,199222
participant_71,1,11,LOBO,ReverseWord_LOBO,1,1,186479
participant_71,1,12,LDBO,SquareRoot_LDBO,1,1,217430
participant_71,1,13,LOBS,ContainsSubstring_LOBS,1,1,201148
participant_71,1,14,LDBS,FirstAboveTreshold_LDBS,1,1,375856
participant_71,1,15,BU,Factorial_BU,1,1,152144
participant_71,1,16,LOBO,Power_LOBO,1,1,176865
participant_71,1,17,LDBO,ReverseWord_LDBO,1,1,118606
participant_71,1,18,LOBS,SquareRoot_LOBS,1,1,128004
participant_71,1,19,LDBS,ContainsSubstring_LDBS,1,1,178721
participant_71,1,20,Syntax,ReverseIntArray_Syntax,1,0,244308
participant_71,1,21,LOBO,Palindrome_LOBO,1,1,236845
participant_71,1,22,LDBO,Power_LDBO,1,1,102064
participant_71,1,23,LOBS,ReverseWord_LOBS,1,1,157892
participant_71,1,24,LDBS,SquareRoot_LDBS,1,1,178649
participant_71,1,25,BU,CrossSum_BU,1,1,226776
participant_71,1,26,LOBO,FirstAboveTreshold_LOBO,1,0,255103
participant_71,1,27,LDBO,Palindrome_LDBO,1,1,269681
participant_71,1,28,LOBS,Power_LOBS,1,1,159174
participant_71,1,29,LDBS,ReverseWord_LDBS,1,1,175311
participant_71,1,30,Syntax,Power_Syntax,1,0,218908
participant_54,2,1,LOBO,CountSameCharsAtSamePosition_LOBO,1,1,254858
participant_54,2,2,LDBO,FirstAboveTreshold_LDBO,1,1,211427
participant_54,2,3,LOBS,Palindrome_LOBS,1,1,211875
participant_54,2,4,LDBS,CrossSum_LDBS,1,1,181542
participant_54,2,5,BU,DoubleArray_BU,1,1,311833
participant_54,2,6,LOBO,ArrayAverage_LOBO,1,1,201697
participant_54,2,7,LDBO,CountSameCharsAtSamePosition_LDBO,1,1,260014
participant_54,2,8,LOBS,FirstAboveTreshold_LOBS,1,1,192783
participant_54,2,9,LDBS,Palindrome_LDBS,1,1,225510
participant_54,2,10,Syntax,ReverseWord_Syntax,1,1,197968
participant_54,2,11,LOBO,CountVowels_LOBO,1,1,181506
participant_54,2,12,LDBO,ArrayAverage_LDBO,1,1,187353
participant_54,2,13,LOBS,CountSameCharsAtSamePosition_LOBS,1,1,254940
participant_54,2,14,LDBS,FirstAboveTreshold_LDBS,1,1,225818
participant_54,2,15,BU,MaxInArray_BU,1,1,163277
participant_54,2,16,LOBO,CrossSum_LOBO,1,1,177035
participant_54,2,17,LDBO,CountVowels_LDBO,1,1,229892
participant_54,2,18,LOBS,ArrayAverage_LOBS,1,1,203133
participant_54,2,19,LDBS,CountSameCharsAtSamePosition_LDBS,1,1,305067
participant_54,2,20,Syntax,DoubleArray_Syntax,1,0,316788
participant_54,2,21,LOBO,Palindrome_LOBO,1,1,176403
participant_54,2,22,LDBO,CrossSum_LDBO,1,1,154541
participant_54,2,23,LOBS,CountVowels_LOBS,1,1,190709
participant_54,2,24,LDBS,ArrayAverage_LDBS,1,1,222518
participant_54,2,25,BU,CrossSum_BU,1,1,170247
participant_54,2,26,LOBO,FirstAboveTreshold_LOBO,1,1,191415
participant_54,2,27,LDBO,Palindrome_LDBO,1,1,209372
participant_54,2,28,LOBS,CrossSum_LOBS,1,1,153801
participant_54,2,29,LDBS,CountVowels_LDBS,1,1,284815
participant_54,2,30,Syntax,Power_Syntax,1,1,186809
participant_70,2,1,LOBO,BinaryToDecimal_LOBO,1,1,182315
participant_70,2,2,LDBO,CountSameCharsAtSamePosition_LDBO,1,1,294441
participant_70,2,3,LOBS,IntertwineTwoWords_LOBS,1,1,183814
participant_70,2,4,LDBS,FirstAboveTreshold_LDBS,1,0,302553
participant_70,2,5,BU,Factorial_BU,1,1,161969
participant_70,2,6,LOBO,SquareRoot_LOBO,1,1,260739
participant_70,2,7,LDBO,BinaryToDecimal_LDBO,1,1,295146
participant_70,2,8,LOBS,CountSameCharsAtSamePosition_LOBS,1,1,267387
participant_70,2,9,LDBS,IntertwineTwoWords_LDBS,1,1,233086
participant_70,2,10,Syntax,Average_Syntax,1,1,140334
participant_70,2,11,LOBO,Palindrome_LOBO,1,1,206695
participant_70,2,12,LDBO,SquareRoot_LDBO,0,,
participant_70,2,13,LOBS,BinaryToDecimal_LOBS,1,1,288236
participant_70,2,14,LDBS,CountSameCharsAtSamePosition_LDBS,1,1,305027
participant_70,2,15,BU,CommonChars_BU,1,1,213573
participant_70,2,16,LOBO,FirstAboveTreshold_LOBO,1,1,219639
participant_70,2,17,LDBO,Palindrome_LDBO,1,1,237847
participant_70,2,18,LOBS,SquareRoot_LOBS,1,1,247078
participant_70,2,19,LDBS,BinaryToDecimal_LDBS,0,1,
participant_70,2,20,Syntax,ReverseWord_Syntax,1,1,132206
participant_70,2,21,LOBO,IntertwineTwoWords_LOBO,1,1,179672
participant_70,2,22,LDBO,FirstAboveTreshold_LDBO,1,1,180350
participant_70,2,23,LOBS,Palindrome_LOBS,1,1,199168
participant_70,2,24,LDBS,SquareRoot_LDBS,1,1,247974
participant_70,2,25,BU,MaxInArray_BU,1,1,203926
participant_70,2,26,LOBO,FirstAboveTreshold_LOBO,1,1,217013
participant_70,2,27,LDBO,IntertwineTwoWords_LDBO,1,1,246481
participant_70,2,28,LOBS,FirstAboveTreshold_LOBS,0,,
participant_70,2,29,LDBS,Palindrome_LDBS,1,1,271916
participant_70,2,30,Syntax,DoubleArray_Syntax,1,0,307360
participant_34,2,1,LOBO,ReverseWord_LOBO,1,1,101584
participant_34,2,2,LDBO,SquareRoot_LDBO,1,1,255892
participant_34,2,3,LOBS,IntertwineTwoWords_LOBS,1,1,304813
participant_34,2,4,LDBS,FirstAboveTreshold_LDBS,1,0,220757
participant_34,2,5,BU,MaxInArray_BU,1,1,245595
participant_34,2,6,LOBO,Power_LOBO,1,1,136914
participant_34,2,7,LDBO,ReverseWord_LDBO,1,1,185331
participant_34,2,8,LOBS,SquareRoot_LOBS,1,1,172499
participant_34,2,9,LDBS,IntertwineTwoWords_LDBS,1,1,197772
participant_34,2,10,Syntax,ReverseIntArray_Syntax,1,1,229743
participant_34,2,11,LOBO,Palindrome_LOBO,1,1,175156
participant_34,2,12,LDBO,Power_LDBO,1,1,151143
participant_34,2,13,LOBS,ReverseWord_LOBS,1,1,146204
participant_34,2,14,LDBS,SquareRoot_LDBS,1,1,284520
participant_34,2,15,BU,CrossSum_BU,1,0,312211
participant_34,2,16,LOBO,FirstAboveTreshold_LOBO,1,1,304169
participant_34,2,17,LDBO,Palindrome_LDBO,1,1,260263
participant_34,2,18,LOBS,Power_LOBS,1,1,148963
participant_34,2,19,LDBS,ReverseWord_LDBS,1,1,189960
participant_34,2,20,Syntax,Power_Syntax,1,1,290236
participant_34,2,21,LOBO,IntertwineTwoWords_LOBO,1,1,234005
participant_34,2,22,LDBO,FirstAboveTreshold_LDBO,1,1,312208
participant_34,2,23,LOBS,Palindrome_LOBS,1,1,250833
participant_34,2,24,LDBS,Power_LDBS,1,1,232011
participant_34,2,25,BU,CommonChars_BU,1,1,357904
participant_34,2,26,LOBO,SquareRoot_LOBO,1,0,304013
participant_34,2,27,LDBO,IntertwineTwoWords_LDBO,1,1,250337
participant_34,2,28,LOBS,FirstAboveTreshold_LOBS,1,1,161416
participant_34,2,29,LDBS,Palindrome_LDBS,1,1,153805
participant_34,2,30,Syntax,DoubleArray_Syntax,1,1,275960
